0.000000000000000000e+00,6.274509803921567430e-01
1.000000000000000000e+00,5.686274509803920241e-01
2.000000000000000000e+00,7.254901960784313486e-01
3.000000000000000000e+00,5.686274509803920241e-01
4.000000000000000000e+00,6.666666666666667407e-01
5.000000000000000000e+00,7.058823529411765163e-01
6.000000000000000000e+00,5.882352941176469674e-01
7.000000000000000000e+00,6.862745098039216840e-01
8.000000000000000000e+00,6.470588235294119084e-01
9.000000000000000000e+00,5.882352941176469674e-01
1.000000000000000000e+01,8.039215686274510109e-01
1.100000000000000000e+01,7.647058823529411242e-01
1.200000000000000000e+01,5.686274509803920241e-01
1.300000000000000000e+01,5.098039215686274161e-01
1.400000000000000000e+01,6.470588235294119084e-01
1.500000000000000000e+01,7.058823529411765163e-01
1.600000000000000000e+01,5.686274509803920241e-01
1.700000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,5.882352941176469674e-01
1.900000000000000000e+01,6.078431372549017997e-01
